 user_code, school_code, school_name, cur_grade, home_class, name, user_id, user_pw, email, phone, gardian_phone, gardian_relation, gender, position_checker, insert_date, update_date
100000101,1000,선유고등학교,1,1,허지회,pickle,pickle123,teacher1@school.com,010-1542-3654,null,null,F,0,0000-00-00 00:00:00,0000-00-00 00:00:00
100000102,1000,선유고등학교,1,2,윤나영,cucumber,cucumber123,teacher2@school.com,010-1577-1328,null,null,F,0,0000-00-00 00:00:00,0000-00-00 00:00:00
100000103,1000,선유고등학교,1,3,이주아,aaa,aaa123,teacher3@school.com,010-7894-1254,null,null,F,0,0000-00-00 00:00:00,0000-00-00 00:00:00
100000104,1000,선유고등학교,1,4,남송녕,bbb,bbb123,teacher4@school.com,010-7553-1354,null,null,F,0,0000-00-00 00:00:00,0000-00-00 00:00:00
100000105,1000,선유고등학교,1,5,송민지,ccc,ccc123,teacher5@school.com,010-7864-4561,null,null,F,0,0000-00-00 00:00:00,0000-00-00 00:00:00
100000106,1000,선유고등학교,1,6,임정훈,ddd,ddd123,teacher6@school.com,010-5465-1234,null,null,M,0,0000-00-00 00:00:00,0000-00-00 00:00:00
100000107,1000,선유고등학교,1,7,현지윤,eee,eee123,teacher7@school.com,010-6571-4578,null,null,F,0,0000-00-00 00:00:00,0000-00-00 00:00:00
100000108,1000,선유고등학교,1,8,최윤정,fff,fff123,teacher8@school.com,010-3214-4567,null,null,F,0,0000-00-00 00:00:00,0000-00-00 00:00:00
100000109,1000,선유고등학교,1,9,김예솔,ggg,ggg123,teacher9@school.com,010-4582-4561,null,null,F,0,0000-00-00 00:00:00,0000-00-00 00:00:00
100000110,1000,선유고등학교,1,10,박슬기,hhh,hhh123,teacher10@school.com,010-6742-4567,null,null,F,0,0000-00-00 00:00:00,0000-00-00 00:00:00
100000111,1000,선유고등학교,1,11,박강희,iii,iii123,teacher11@school.com,010-5451-5456,null,null,F,0,0000-00-00 00:00:00,0000-00-00 00:00:00
100000112,1000,선유고등학교,1,12,김근우,jjj,jjj123,teacher12@school.com,010-7831-8724,null,null,M,0,0000-00-00 00:00:00,0000-00-00 00:00:00
100000113,1000,선유고등학교,1,13,김태하,kkk,kkk123,teacher13@school.com,010-1234-1564,null,null,M,0,0000-00-00 00:00:00,0000-00-00 00:00:00
100000114,1000,선유고등학교,1,14,문우현,lll,lll123,teacher14@school.com,010-4567-4587,null,null,F,0,0000-00-00 00:00:00,0000-00-00 00:00:00
100000115,1000,선유고등학교,1,15,박주훈,mmm,mmm123,teacher15@school.com,010-1387-4513,null,null,M,0,0000-00-00 00:00:00,0000-00-00 00:00:00
100000201,1000,선유고등학교,2,1,강예림,gra2cla1,gra2cla1231,gra2cla1@school.com,010-1234-6578,null,null,F,0,null,null
100000202,1000,선유고등학교,2,2,곽경열,gra2cla2,gra2cla1232,gra2cla1@school.com,010-2547-6578,null,null,M,0,null,null
100000203,1000,선유고등학교,2,3,김수빈,gra2cla3,gra2cla1233,gra2cla3@school.com,010-3542-6578,null,null,F,0,null,null
100000204,1000,선유고등학교,2,4,김호정,gra2cla4,gra2cla1234,gra2cla4@school.com,010-4542-6578,null,null,F,0,null,null
100000205,1000,선유고등학교,2,5,김희진,gra2cla5,gra2cla1235,gra2cla5@school.com,010-2542-6578,null,null,F,0,null,null
100000206,1000,선유고등학교,2,6,박우빈,gra2cla6,gra2cla1236,gra2cla6@school.com,010-2562-6578,null,null,F,0,null,null
100000207,1000,선유고등학교,2,7,박우준,gra2cla7,gra2cla1237,gra2cla7@school.com,010-2567-6578,null,null,F,0,null,null
100000208,1000,선유고등학교,2,8,박주선,gra2cla8,gra2cla1238,gra2cla8@school.com,010-2568-6578,null,null,F,0,null,null
100000209,1000,선유고등학교,2,9,방은아,gra2cla9,gra2cla1239,gra2cla9@school.com,010-2998-6578,null,null,F,0,null,null
100000210,1000,선유고등학교,2,10,방은아,gra2cla10,gra2cla12310,gra2cla10@school.com,010-2910-6578,null,null,F,0,null,null
100000211,1000,선유고등학교,2,11,양정욱,gra2cla11,gra2cla12311,gra2cla11@school.com,010-2911-6578,null,null,F,0,null,null
100000212,1000,선유고등학교,2,12,이승규,gra2cla12,gra2cla12312,gra2cla12@school.com,010-2922-6578,null,null,F,0,null,null
100000213,1000,선유고등학교,2,13,이준화,gra2cla13,gra2cla12313,gra2cla13@school.com,010-2332-6578,null,null,F,0,null,null
