user_code, email, gardian_phone, gardian_relation, gender, cur_grade, home_class, insert_date, name, phone, position_checker, school_code, school_name, update_date, user_id, user_pw
"100000001","teacher1@school.com",null,null,"F","3,"1",null,"허지회","010-1542-3654","0","1000","선유고등학교",null,"pickle","pickle123"
"100000002","teacher2@school.com",null,null,"F","3,"2",null,"윤나영","010-1577-1328","0","1000","선유고등학교",null,"cucumber","cucumber123"
"100000003","teacher3@school.com",null,null,"F","3,"3",null,"이주아","010-7894-1254","0","1000","선유고등학교",null,"aaa","aaa123"
"100000004","teacher4@school.com",null,null,"F","3,"4",null,"남송녕","010-7553-1354","0","1000","선유고등학교",null,"bbb","bbb123"
"100000005","teacher5@school.com",null,null,"F","3,"5",null,"송민지","010-7864-4561","0","1000","선유고등학교",null,"ccc","ccc123"
"100000006","teacher6@school.com",null,null,"M","3,"6",null,"임정훈","010-5465-1234","0","1000","선유고등학교",null,"ddd","ddd123"
"100000007","teacher7@school.com",null,null,"F","3,"7",null,"현지윤","010-6571-4578","0","1000","선유고등학교",null,"eee","eee123"
"100000008","teacher8@school.com",null,null,"F","3,"8",null,"최윤정","010-3214-4567","0","1000","선유고등학교",null,"fff","fff123"
"100000009","teacher9@school.com",null,null,"F","3,"9",null,"김예솔","010-4582-4561","0","1000","선유고등학교",null,"ggg","ggg123"
"100000010","teacher10@school.com",null,null,"F","3,”10",null,"박슬기","010-6742-4567","0","1000","선유고등학교",null,"hhh","hhh123"
"100000011","teacher11@school.com",null,null,"F","3,"11",null,"박강희","010-5451-5456","0","1000","선유고등학교",null,"iii","iii123"
"100000012","teacher12@school.com",null,null,"M","3,"12",null,"김근우","010-7831-8724","0","1000","선유고등학교",null,"jjj","jjj123"
"100000013","teacher13@school.com",null,null,"M","3,"13",null,"김태하","010-1234-1564","0","1000","선유고등학교",null,"kkk","kkk123"
"100000014","teacher14@school.com",null,null,"F","3,"14",null,"문우현","010-4567-4587","0","1000","선유고등학교",null,"lll","lll123"
